slot1@chicagoawe195.chicago.kbase.us 231746 32.0 1725906096
slot1@chicagoawe203.chicago.kbase.us 231746 32.0 1460360448
slot1@chicagoawe207.chicago.kbase.us 231743 48.0 1621524836
slot1@chicagoawe213.chicago.kbase.us 231746 32.0 1378947720
slot1@chicagoawe221.chicago.kbase.us 231746 32.0 1406556188
slot1@chicagoawe223.chicago.kbase.us 231746 32.0 1729971728
slot1@chicagoawe224.chicago.kbase.us 231743 48.0 1698926484
slot1@chicagoawe225.chicago.kbase.us 231746 32.0 1728030380
slot1@chicagoawe226.chicago.kbase.us 231743 48.0 1707410004
slot1@chicagoawe229.chicago.kbase.us 231746 32.0 1269413708
slot1@cm1-p.chicago.kbase.us 1032078 64.0 1927627052
slot1@cm2-p.chicago.kbase.us 1032078 64.0 1478932816
slot1@cm3-p.chicago.kbase.us 1032078 64.0 1467612708
slot1@cm4-p.chicago.kbase.us 1032078 64.0 1597377572
slot1@cm5-p.chicago.kbase.us 1032078 64.0 1916477668
slot1@cm6-p.chicago.kbase.us 1032078 64.0 1638576628
slot1@cm7-p.chicago.kbase.us 1032078 64.0 1230335808
slot1@cm8-p.chicago.kbase.us 903055 64.0 1579442572
slot1@cm9-p.chicago.kbase.us 1032078 64.0 1843158320
slot1@cm10-p.chicago.kbase.us 1032078 64.0 520760760
slot1@cm12-p.chicago.kbase.us 903055 64.0 1916777924
slot1@cori18 515127 64.0 11173236008456
slot1@cs121-p.chicago.kbase.us 48284 12.0 2202278144
slot1@cs122-p.chicago.kbase.us 48284 12.0 2015292620
slot1@cs123-p.chicago.kbase.us 48284 12.0 2228549844
slot1@cs124-p.chicago.kbae.us 48284 12.0 2014538904
slot1@cs125-p.chicago.kbae.us 48284 12.0 2180549364
slot1@cs126-p.chicago.kbase.us 48284 12.0 2183801048
slot1@cs127-p.chicago.kbase.us 48284 12.0 2206231408
slot1@cs128-p.chicago.kbase.us 48284 12.0 2222487312
slot1@cs129-p.chicago.kbase.us 48284 12.0 2228570200
slot1@cs130-p.chicago.kbase.us 48284 12.0 2194212052
slot1@cs131-p.chicago.kbase.us 48284 12.0 2204924572
slot1@cs132-p.chicago.kbase.us 48284 12.0 2084075600
slot1@cs133-p.chicago.kbase.us 290204 24.0 2215226512
slot1@cs135-p.chicago.kbase.us 48284 12.0 2228265832
slot1@cs136-p.chicago.kbase.us 48284 12.0 2157952964
slot1@cs137-p.chicago.kbase.us 48284 12.0 1986928816
slot1@cs138-p.chicago.kbase.us 48284 12.0 2222553888
slot1@cs139-p.chicago.kbase.us 48284 12.0 2212095604
slot1@cs140-p.chicago.kbase.us 48284 12.0 2228555448
slot1@cs141-p.chicago.kbase.us 48284 12.0 2206039476
slot1@cs142-p.chicago.kbase.us 48284 12.0 1735140856
slot1@cs143-p.chicago.kbase.us 48284 12.0 1815551576
slot1@cs144-p.chicago.kbase.us 48284 12.0 2207294424
slot1@cs145-p.chicago.kbase.us 48284 12.0 2209591104
slot1@cs146-p.chicago.kbase.us 48284 12.0 2045368444
